pr_number,reviewer,state,submitted_at,body
85,Alice,APPROVED,2025-01-01T00:00:00Z,Review comment by Alice
46,Alice,APPROVED,2025-01-01T00:00:00Z,Review comment by Alice
80,Alice,CHANGES_REQUESTED,2025-01-01T00:00:00Z,Review comment by Alice
21,Alice,CHANGES_REQUESTED,2025-01-01T00:00:00Z,Review comment by Alice
55,Alice,COMMENTED,2025-01-01T00:00:00Z,Review comment by Alice
57,Alice,COMMENTED,2025-01-01T00:00:00Z,Review comment by Alice
4,Alice,APPROVED,2025-01-01T00:00:00Z,Review comment by Alice
98,Alice,COMMENTED,2025-01-01T00:00:00Z,Review comment by Alice
72,Alice,COMMENTED,2025-01-01T00:00:00Z,Review comment by Alice
80,Alice,APPROVED,2025-01-01T00:00:00Z,Review comment by Alice
23,Alice,COMMENTED,2025-02-01T00:00:00Z,Review comment by Alice
23,Alice,APPROVED,2025-02-01T00:00:00Z,Review comment by Alice
52,Alice,COMMENTED,2025-02-01T00:00:00Z,Review comment by Alice
80,Alice,APPROVED,2025-02-01T00:00:00Z,Review comment by Alice
1,Alice,COMMENTED,2025-02-01T00:00:00Z,Review comment by Alice
72,Alice,APPROVED,2025-02-01T00:00:00Z,Review comment by Alice
2,Alice,COMMENTED,2025-02-01T00:00:00Z,Review comment by Alice
20,Alice,COMMENTED,2025-02-01T00:00:00Z,Review comment by Alice
67,Alice,COMMENTED,2025-02-01T00:00:00Z,Review comment by Alice
94,Alice,COMMENTED,2025-02-01T00:00:00Z,Review comment by Alice
62,Alice,COMMENTED,2025-03-01T00:00:00Z,Review comment by Alice
21,Alice,COMMENTED,2025-03-01T00:00:00Z,Review comment by Alice
50,Alice,COMMENTED,2025-03-01T00:00:00Z,Review comment by Alice
86,Alice,COMMENTED,2025-03-01T00:00:00Z,Review comment by Alice
28,Alice,COMMENTED,2025-03-01T00:00:00Z,Review comment by Alice
33,Alice,COMMENTED,2025-03-01T00:00:00Z,Review comment by Alice
54,Alice,COMMENTED,2025-03-01T00:00:00Z,Review comment by Alice
