pr_number,reviewer,state,submitted_at,body
66,Charlie,COMMENTED,2025-01-01T00:00:00Z,Review comment by Charlie
3,Charlie,APPROVED,2025-01-01T00:00:00Z,Review comment by Charlie
58,Charlie,APPROVED,2025-01-01T00:00:00Z,Review comment by Charlie
76,Charlie,CHANGES_REQUESTED,2025-01-01T00:00:00Z,Review comment by Charlie
20,Charlie,CHANGES_REQUESTED,2025-01-01T00:00:00Z,Review comment by Charlie
35,Charlie,CHANGES_REQUESTED,2025-01-01T00:00:00Z,Review comment by Charlie
11,Charlie,APPROVED,2025-01-01T00:00:00Z,Review comment by Charlie
94,Charlie,APPROVED,2025-01-01T00:00:00Z,Review comment by Charlie
52,Charlie,CHANGES_REQUESTED,2025-01-01T00:00:00Z,Review comment by Charlie
67,Charlie,COMMENTED,2025-01-01T00:00:00Z,Review comment by Charlie
7,Charlie,CHANGES_REQUESTED,2025-02-01T00:00:00Z,Review comment by Charlie
68,Charlie,CHANGES_REQUESTED,2025-02-01T00:00:00Z,Review comment by Charlie
34,Charlie,APPROVED,2025-02-01T00:00:00Z,Review comment by Charlie
15,Charlie,APPROVED,2025-02-01T00:00:00Z,Review comment by Charlie
98,Charlie,COMMENTED,2025-02-01T00:00:00Z,Review comment by Charlie
62,Charlie,APPROVED,2025-02-01T00:00:00Z,Review comment by Charlie
76,Charlie,APPROVED,2025-02-01T00:00:00Z,Review comment by Charlie
94,Charlie,CHANGES_REQUESTED,2025-02-01T00:00:00Z,Review comment by Charlie
55,Charlie,APPROVED,2025-02-01T00:00:00Z,Review comment by Charlie
71,Charlie,APPROVED,2025-02-01T00:00:00Z,Review comment by Charlie
41,Charlie,CHANGES_REQUESTED,2025-03-01T00:00:00Z,Review comment by Charlie
71,Charlie,APPROVED,2025-03-01T00:00:00Z,Review comment by Charlie
74,Charlie,CHANGES_REQUESTED,2025-03-01T00:00:00Z,Review comment by Charlie
56,Charlie,COMMENTED,2025-03-01T00:00:00Z,Review comment by Charlie
48,Charlie,APPROVED,2025-03-01T00:00:00Z,Review comment by Charlie
19,Charlie,CHANGES_REQUESTED,2025-03-01T00:00:00Z,Review comment by Charlie
34,Charlie,CHANGES_REQUESTED,2025-03-01T00:00:00Z,Review comment by Charlie
46,Charlie,APPROVED,2025-03-01T00:00:00Z,Review comment by Charlie
43,Charlie,CHANGES_REQUESTED,2025-03-01T00:00:00Z,Review comment by Charlie
66,Charlie,CHANGES_REQUESTED,2025-03-01T00:00:00Z,Review comment by Charlie
8,Charlie,COMMENTED,2025-04-01T00:00:00Z,Review comment by Charlie
40,Charlie,CHANGES_REQUESTED,2025-04-01T00:00:00Z,Review comment by Charlie
95,Charlie,CHANGES_REQUESTED,2025-04-01T00:00:00Z,Review comment by Charlie
86,Charlie,CHANGES_REQUESTED,2025-04-01T00:00:00Z,Review comment by Charlie
58,Charlie,CHANGES_REQUESTED,2025-04-01T00:00:00Z,Review comment by Charlie
77,Charlie,CHANGES_REQUESTED,2025-04-01T00:00:00Z,Review comment by Charlie
76,Charlie,CHANGES_REQUESTED,2025-04-01T00:00:00Z,Review comment by Charlie
4,Charlie,COMMENTED,2025-04-01T00:00:00Z,Review comment by Charlie
11,Charlie,COMMENTED,2025-04-01T00:00:00Z,Review comment by Charlie
41,Charlie,APPROVED,2025-04-01T00:00:00Z,Review comment by Charlie
31,Charlie,CHANGES_REQUESTED,2025-05-01T00:00:00Z,Review comment by Charlie
94,Charlie,CHANGES_REQUESTED,2025-05-01T00:00:00Z,Review comment by Charlie
53,Charlie,COMMENTED,2025-05-01T00:00:00Z,Review comment by Charlie
55,Charlie,CHANGES_REQUESTED,2025-05-01T00:00:00Z,Review comment by Charlie
98,Charlie,COMMENTED,2025-05-01T00:00:00Z,Review comment by Charlie
91,Charlie,COMMENTED,2025-05-01T00:00:00Z,Review comment by Charlie
80,Charlie,COMMENTED,2025-05-01T00:00:00Z,Review comment by Charlie
92,Charlie,CHANGES_REQUESTED,2025-05-01T00:00:00Z,Review comment by Charlie
50,Charlie,CHANGES_REQUESTED,2025-05-01T00:00:00Z,Review comment by Charlie
35,Charlie,COMMENTED,2025-05-01T00:00:00Z,Review comment by Charlie
34,Charlie,COMMENTED,2025-06-01T00:00:00Z,Review comment by Charlie
84,Charlie,COMMENTED,2025-06-01T00:00:00Z,Review comment by Charlie
88,Charlie,COMMENTED,2025-06-01T00:00:00Z,Review comment by Charlie
70,Charlie,APPROVED,2025-06-01T00:00:00Z,Review comment by Charlie
17,Charlie,CHANGES_REQUESTED,2025-06-01T00:00:00Z,Review comment by Charlie
31,Charlie,COMMENTED,2025-06-01T00:00:00Z,Review comment by Charlie
30,Charlie,CHANGES_REQUESTED,2025-06-01T00:00:00Z,Review comment by Charlie
18,Charlie,APPROVED,2025-06-01T00:00:00Z,Review comment by Charlie
25,Charlie,CHANGES_REQUESTED,2025-06-01T00:00:00Z,Review comment by Charlie
83,Charlie,COMMENTED,2025-06-01T00:00:00Z,Review comment by Charlie
57,Charlie,COMMENTED,2025-07-01T00:00:00Z,Review comment by Charlie
51,Charlie,CHANGES_REQUESTED,2025-07-01T00:00:00Z,Review comment by Charlie
14,Charlie,COMMENTED,2025-07-01T00:00:00Z,Review comment by Charlie
34,Charlie,COMMENTED,2025-07-01T00:00:00Z,Review comment by Charlie
30,Charlie,APPROVED,2025-07-01T00:00:00Z,Review comment by Charlie
30,Charlie,COMMENTED,2025-07-01T00:00:00Z,Review comment by Charlie
16,Charlie,CHANGES_REQUESTED,2025-07-01T00:00:00Z,Review comment by Charlie
