,Author,Commits
0,Maria Ines Parnisari,273
1,dependabot[bot],192
2,Adrian Tam,98
3,Jonathan Whitaker,94
4,José Padilla,59
5,Justin Cohen,28
6,Will Vedder,28
7,Yamil Asusta,26
8,Raghd Hamzeh,22
9,Lam Tran,20
10,Andrés Aguiar,13
11,Joshua Jones,11
12,Ewan Harris,11
13,Sergiu Ghitea,11
14,Poovamraj T T,10
15,Siddhant Khare,10
16,Dan Cech,8
17,Craig Pastro,8
18,Zilvinas Vilutis,6
19,Vic-Dev,5
20,00chorch,4
21,Jim Anderson,3
22,Ilia Aleksin,3
23,Steven Meadows,3
24,Evan Sims,3
25,Siddhant Rai,2
26,Juan Antonio Osorio,2
27,Rui Chen,2
28,Sanket Rai,2
29,Matouš Dzivjak,2
30,Harsha Vardhan,2
31,Zack Liston,1
32,Karl Persson,1
33,Alexander Zobnin,1
34,Ovindu Atukorala,1
35,Tyler Nix,1
36,Johannes Gräger,1
37,Sujitha A V,1
38,dwiki arlan,1
39,Piotr Idzik,1
40,Ryan Quinn,1
41,Nitheesh Raaja R,1
42,Sarah Funkhouser,1
43,ChinoUkaegbu,1
44,José Carlos Chávez,1
45,Jeremy Morony,1
46,Joe Chen,1
47,lalalalatt,1
48,Joey Yang,1
49,Chris Moran,1
50,Zach Johnson,1
51,Steven Mwadows,1
52,Louis,1
53,Yann D'Isanto,1
54,Edwin Marrima,1
55,Matthieu Evrin,1
56,Raj Saxena,1
57,Stéphane Graber,1
58,Martin Koppehel,1
59,Saurabh Kumar,1
60,Gabriel Bussolo,1
61,Azanul Haque,1
62,Klaus Viisainen,1
63,"Justin ""J.R."" Hill",1
64,jingchu000,1
65,Liam G,1
66,Kevin Wooten,1
67,Dániel SÜTTŐ,1
68,Jarkko Miettinen,1
69,Jacob Brooks,1
