,date,author,message,files_changed,insertions,deletions,hash,year_month,commit_type,hour
0,2022-01-05 02:41:58+00:00,Shuangyin Lin,update doc,2,0,0,a4e007e,2022-01,其他,2
1,2022-01-04 15:16:23+00:00,admin,plot new,1,1,1,6fad32b,2022-01,其他,15
2,2022-01-04 14:52:30+00:00,Wenxuan Nie,change word,1,0,0,86b80fc,2022-01,其他,14
3,2022-01-04 14:49:33+00:00,Wenxuan Nie,change crawer,1,1,1,a50cbab,2022-01,其他,14
4,2022-01-04 14:15:31+00:00,Lonely-Rain,change pie,1,1,1,91a8b27,2022-01,其他,14
5,2022-01-04 14:10:54+00:00,Lonely-Rain,change me,1,1,1,af091ed,2022-01,其他,14
6,2022-01-04 13:31:35+00:00,Shuangyin Lin,last commit 2.0,13,140,0,ca91174,2022-01,其他,13
7,2022-01-02 07:11:22+00:00,Shuangyin Lin,final commit 1.9,2,13,5,8106ab2,2022-01,其他,7
8,2022-01-01 03:33:35+00:00,Shuangyin Lin,third commit,4,44,0,d2235d2,2022-01,其他,3
9,2022-01-01 01:58:47+00:00,Shuangyin Lin,second commit,2,2,0,30c38f1,2022-01,其他,1
10,2022-01-01 01:41:51+00:00,Shuangyin Lin,注释,25,0,0,c3e3aad,2022-01,其他,1
11,2021-12-31 13:53:26+00:00,Shuangyin Lin,first commit,21,451,0,f3b169d,2021-12,其他,13
