Commenter,Count
codecov[bot],427
codecov-commenter,311
jon-whit,292
miparnisari,142
rhamzeh,94
craigpastro,76
dependabot[bot],51
adriantam,51
aaguiarz,45
github-actions[bot],43
linux-foundation-easycla[bot],34
CLAassistant,17
ghstahl,15
MidasLamb,13
xXAvoraXx,13
psadovsky,11
Himanshu372,10
KlausVii,10
stgraber,9
dblclik,8
vavsab,8
kdubb,8
Siddhant-K-code,8
jpadilla,8
elbuo8,7
tnipri,7
OysteinVesth,7
geoffroybraun,7
jingchu000,7
ilaleksin,7
siennathesane,6
matoous,6
matthewpereira,5
wemod123,5
sanketrai1,5
thisisxvr,4
easyCZ,4
velmohan,4
aaronschweig,4
jaredzhou,3
alexandrebrg,3
gbragi,3
XVincentX,3
tarjanik,3
guipace,3
Galzzly,3
mpereira-ae,3
irees,3
UncleFirefox,3
gabrielbussolo,3
jcbertolucci,3
ruppo-912116,3
fsedano,3
jaymcguinness,2
JohnYoungers,2
kian99,2
mightysood,2
erickhgm,2
harshabangi,2
jerclark,2
le-yams,2
Azanul,2
MeenuyD,2
gmartin-flexe,2
claraisrael,2
JRudransh,2
mjarosie,2
robyte-ctrl,2
martin31821,2
ashok-an,2
sasanknvs,2
NexZhu,1
mmrath,1
trondhindenes,1
fschulte-eiwa,1
wma1729,1
MarceloPeresToi,1
akoserwal,1
nokome,1
filipstiglic,1
emsearcy,1
jmiettinen,1
varunsh-coder,1
lorenlew,1
krishnaduttPanchagnula,1
uzubair-miovision,1
wangdyqxx,1
shubhamsaininnl,1
alee792,1
Tomsons,1
apexskier,1
tranngoclam,1
ldigiuseppe,1
dv29,1
RichardAkman,1
collisj1996,1
naveengovindarajan,1
shaunco,1
surajkrishan,1
Mararok,1
viktorgt,1
nickstanish,1
zgrose,1
Aslanzoghi,1
