number,title,state,created_at,closed_at,author,labels,changed_files,additions,deletions,merged,merged_by,review_comments,url,branch,base_branch,body,draft,age_days,comment_count,review_state
2240,fix: drain iterators in Check,open,2025-01-24 23:40:59,,miparnisari,[],2,59,12,False,,0,https://github.com/openfga/openfga/pull/2240,properly-drain-iterators-fix,main,"## Description

I wrote a unit test that, without the code change, randomly fails with ""iterator.Stop not called"". This can mean a leak in goroutines.


## References

https://github.com/openfga/openfga/actions/runs/12935953707/job/36080447940

```
--- FAIL: TestCheckMySQL (25.68s)
    tests.go:63: creating connection to address localhost:45819
    testutils.go:234: 2025-01-23 18:50:21.15580025 +0000 UTC m=+68.914354291 not serving yet at address localhost:45819 rpc error: code = Unavailable desc = connection error: desc = ""transport: Error while dialing: dial tcp [::1]:45819: connect: connection refused""
    testutils.go:234: 2025-01-23 18:50:21.499385381 +0000 UTC m=+69.257939412 not serving yet at address localhost:45819 rpc error: code = Unavailable desc = connection error: desc = ""transport: Error while dialing: dial tcp [::1]:45819: connect: connection refused""
    tests.go:57: waiting for server to stop
    tests.go:60: server stopped with error:  <nil>
    mysql.go:106: stopping container mysql-01JJA804SJPYF6NMQE5FVWNF2H
    mysql.go:113: stopped container mysql-01JJA804SJPYF6NMQE5FVWNF2H
    check_test.go:329: found unexpected goroutines:
        [Goroutine 108867 in state select, with github.com/go-sql-driver/mysql.(*mysqlConn).startWatcher.func1 on top of the stack:
        github.com/go-sql-driver/mysql.(*mysqlConn).startWatcher.func1()
        	/home/runner/go/pkg/mod/github.com/go-sql-driver/mysql@v1.8.1/connection.go:628 +0x105
        created by github.com/go-sql-driver/mysql.(*mysqlConn).startWatcher in goroutine 108744
        	/home/runner/go/pkg/mod/github.com/go-sql-driver/mysql@v1.8.1/connection.go:625 +0x1dd
```",False,0,0,pending
2239,refactor: move some functionality into iterator stream,open,2025-01-24 21:45:31,,adriantam,['Skip-Changelog'],4,995,229,False,,0,https://github.com/openfga/openfga/pull/2239,refactor/check_fastpath_iterator_stream,main,"
## Description
Clean up the code by moving some functionality from check fastpath into iterator stream.  At the same time, increase test coverage for check fastpath.

 
## References
<!-- Provide a list of any applicable references here (GitHub Issue, [OpenFGA RFC](https://github.com/openfga/rfcs), other PRs, etc..) -->

## Review Checklist
- [x] I have clicked on [""allow edits by maintainers""](https://docs.github.com/en/pull-requests/collaborating-with-pull-requests/working-with-forks/allowing-changes-to-a-pull-request-branch-created-from-a-fork).
- [ ] I have added documentation for new/changed functionality in this PR or in a PR to [openfga.dev](https://github.com/openfga/openfga.dev) [Provide a link to any relevant PRs in the references section above]
- [x] The correct base branch is being used, if not `main`
- [x] I have added tests to validate that the change in functionality is working as expected

",False,0,1,pending
2238,perf: remove fmt.sprintf and just add strings,open,2025-01-24 21:34:49,,justincoh,['Skip-Changelog'],1,5,1,False,,0,https://github.com/openfga/openfga/pull/2238,perf/remove-fmt-sprintf-from-tuple-stringifier,main,"<!-- Thanks for opening a PR! Here are some quick tips:
If this is your first time contributing, [read our Contributing Guidelines](https://github.com/openfga/.github/blob/main/CONTRIBUTING.md) to learn how to create an acceptable PR for this repo.
By submitting a PR to this repository, you agree to the terms within the [OpenFGA Code of Conduct](https://github.com/openfga/.github/blob/main/CODE_OF_CONDUCT.md)

If your PR is under active development, please submit it as a ""draft"". Once it's ready, open it up for review.
-->

<!-- Provide a brief summary of the changes -->

## Description
<!-- Provide a detailed description of the changes -->
Came across a `fmt.sprintf` in the `tuple` package which we can make faster while maintaining readability by just concatenating strings.

I did a quick benchmark comparison:
```
func BenchmarkTupleStringifiers(b *testing.B) {
	tupleKey := &openfgav1.TupleKey{
		User:     ""user:justin"",
		Relation: ""viewer"",
		Object:   ""doc:1"",
	}

	b.Run(""new_version"", func(b *testing.B) {
		for i := 0; i < b.N; i++ {
			_ = TupleKeyToString(tupleKey)
		}
	})
}
```

Old:
<img width=""969"" alt=""image"" src=""https://github.com/user-attachments/assets/bd9f3ffb-af01-4b83-b03f-9362233909b1"" />

New
<img width=""969"" alt=""image"" src=""https://github.com/user-attachments/assets/7761b35c-5e0f-4c14-9c3c-9f620752b221"" />

Percentage-wise it's quite a bit faster, but we're talking nanoseconds here so 🤷 

We can actually make it significantly faster still (and remove all memory usage) if we specify an explicit type for this function to accept, rather than an interface, but that requires a refactor in other places and doesn't seem worth it for such small gains.

With explicit type:
<img width=""921"" alt=""image"" src=""https://github.com/user-attachments/assets/b91f1586-d011-4457-864c-54b1cb2349ca"" />


## References
<!-- Provide a list of any applicable references here (GitHub Issue, [OpenFGA RFC](https://github.com/openfga/rfcs), other PRs, etc..) -->

## Review Checklist
- [ ] I have clicked on [""allow edits by maintainers""](https://docs.github.com/en/pull-requests/collaborating-with-pull-requests/working-with-forks/allowing-changes-to-a-pull-request-branch-created-from-a-fork).
- [ ] I have added documentation for new/changed functionality in this PR or in a PR to [openfga.dev](https://github.com/openfga/openfga.dev) [Provide a link to any relevant PRs in the references section above]
- [ ] The correct base branch is being used, if not `main`
- [ ] I have added tests to validate that the change in functionality is working as expected

",False,0,1,pending
2237,chore: introduce new IObjectMapper interface and use it within Check API,open,2025-01-23 23:20:29,,miparnisari,['Skip-Changelog'],7,414,215,False,,0,https://github.com/openfga/openfga/pull/2237,introduce-new-interface,main,"## Description

I introduce a new interface `IObjectMapper` (could also be called `IObjectIterator`..) that is an iterator that returns the `object` field of a tuple.

This change should

- not change API behavior
- reduce memory consumption
- increase code clarity by making more explicit what the iterator returns

I also introduce `storage.NewStaticObjectMapper` that implements `IObjectMapper`.

",True,1,1,draft
2230,Mysql: Extend `object_id` VARCHAR to 256,open,2025-01-21 16:24:09,,eleijonmarck,[],1,5,0,False,,0,https://github.com/openfga/openfga/pull/2230,eleijonmarck/mysql/extend_object_id_to_256,main,"<!-- Thanks for opening a PR! Here are some quick tips:
If this is your first time contributing, [read our Contributing Guidelines](https://github.com/openfga/.github/blob/main/CONTRIBUTING.md) to learn how to create an acceptable PR for this repo.
By submitting a PR to this repository, you agree to the terms within the [OpenFGA Code of Conduct](https://github.com/openfga/.github/blob/main/CODE_OF_CONDUCT.md)

If your PR is under active development, please submit it as a ""draft"". Once it's ready, open it up for review.
-->

<!-- Provide a brief summary of the changes -->

## Description
<!-- Provide a detailed description of the changes -->

Described in issue : https://github.com/openfga/openfga/issues/2233

## References
<!-- Provide a list of any applicable references here (GitHub Issue, [OpenFGA RFC](https://github.com/openfga/rfcs), other PRs, etc..) -->

## Review Checklist
- [ ] I have clicked on [""allow edits by maintainers""](https://docs.github.com/en/pull-requests/collaborating-with-pull-requests/working-with-forks/allowing-changes-to-a-pull-request-branch-created-from-a-fork).
- [ ] I have added documentation for new/changed functionality in this PR or in a PR to [openfga.dev](https://github.com/openfga/openfga.dev) [Provide a link to any relevant PRs in the references section above]
- [ ] The correct base branch is being used, if not `main`
- [ ] I have added tests to validate that the change in functionality is working as expected

",True,3,2,draft
2214,refactor resolve_check_request fields to be private,open,2025-01-15 02:02:56,,justincoh,"['refactor', 'Skip-Changelog']",15,632,418,False,,0,https://github.com/openfga/openfga/pull/2214,refactor/resolve-check-request-private-fields,main,"<!-- Thanks for opening a PR! Here are some quick tips:
If this is your first time contributing, [read our Contributing Guidelines](https://github.com/openfga/.github/blob/main/CONTRIBUTING.md) to learn how to create an acceptable PR for this repo.
By submitting a PR to this repository, you agree to the terms within the [OpenFGA Code of Conduct](https://github.com/openfga/.github/blob/main/CODE_OF_CONDUCT.md)

If your PR is under active development, please submit it as a ""draft"". Once it's ready, open it up for review.
-->

<!-- Provide a brief summary of the changes -->

## Description
<!-- Provide a detailed description of the changes -->

## References
<!-- Provide a list of any applicable references here (GitHub Issue, [OpenFGA RFC](https://github.com/openfga/rfcs), other PRs, etc..) -->

## Review Checklist
- [ ] I have clicked on [""allow edits by maintainers""](https://docs.github.com/en/pull-requests/collaborating-with-pull-requests/working-with-forks/allowing-changes-to-a-pull-request-branch-created-from-a-fork).
- [ ] I have added documentation for new/changed functionality in this PR or in a PR to [openfga.dev](https://github.com/openfga/openfga.dev) [Provide a link to any relevant PRs in the references section above]
- [ ] The correct base branch is being used, if not `main`
- [ ] I have added tests to validate that the change in functionality is working as expected

",True,10,0,draft
2202,refactor: check command contextual tuples type,open,2025-01-09 19:30:57,,justincoh,"['refactor', 'Skip-Changelog']",5,13,17,False,,1,https://github.com/openfga/openfga/pull/2202,refactor/check-command-param-type,main,"<!-- Thanks for opening a PR! Here are some quick tips:
If this is your first time contributing, [read our Contributing Guidelines](https://github.com/openfga/.github/blob/main/CONTRIBUTING.md) to learn how to create an acceptable PR for this repo.
By submitting a PR to this repository, you agree to the terms within the [OpenFGA Code of Conduct](https://github.com/openfga/.github/blob/main/CODE_OF_CONDUCT.md)

If your PR is under active development, please submit it as a ""draft"". Once it's ready, open it up for review.
-->

<!-- Provide a brief summary of the changes -->

## Description
<!-- Provide a detailed description of the changes -->
This PR implements no new functionality.

This is a small refactor to enable a fix for a data race in #2193. The race stems from [this block in list_objects](https://github.com/openfga/openfga/blob/main/pkg/server/commands/list_objects.go#L339-L349).

In #2193, we're making a change to ensure that we don't unnecessarily recalculate cache keys for pieces of data that don't change during the life of a check (modelID, storeID, context, contextualTuples). However, in [the linked code block](https://github.com/openfga/openfga/blob/main/pkg/server/commands/list_objects.go#L339-L349) we are concurrently firing off multiple `CheckCommand` which share `ContextualTuples`.

One of the first things the CheckCommand does is calculate cache keys. When creating the Invariant piece of the CacheKey for a request, [this sort](https://github.com/openfga/openfga/blob/main/internal/keys/hasher.go#L82) triggers [a swap operation](https://github.com/openfga/openfga/blob/main/pkg/tuple/tuple.go#L53-L58) that mutates the underlying ContextualTuples. In the context of a `check` request, this is fine. But having multiple routines attempt to Check a single request simultaneously leads to [data races like this one](https://github.com/openfga/openfga/actions/runs/12694360071/job/35383968107?pr=2193#step:5:412).

There is a simple fix here; use [golang's built-in copy](https://pkg.go.dev/builtin#copy) method to deep copy the underlying ~tuples~ slice. Copy, however, only works on slices, and there's no concise way to deep copy a struct that I can find.

This PR changes `CheckCommandParams.ContextualTuples` from the struct type `*openfgav1.ContextualTupleKeys`  to the underlying slice type `[]*openfgav1.TupleKey`. We were always immediately calling `GetTupleKeys()` on the existing ContextualTuples anyway, so this refactor was very simple.

I suspect the coming `copy()` operation will have to be done in BatchCheck as well as list objects, since it also concurrently fires many check commands in the context of an individual request.


## References
<!-- Provide a list of any applicable references here (GitHub Issue, [OpenFGA RFC](https://github.com/openfga/rfcs), other PRs, etc..) -->

## Review Checklist
- [ ] I have clicked on [""allow edits by maintainers""](https://docs.github.com/en/pull-requests/collaborating-with-pull-requests/working-with-forks/allowing-changes-to-a-pull-request-branch-created-from-a-fork).
- [ ] I have added documentation for new/changed functionality in this PR or in a PR to [openfga.dev](https://github.com/openfga/openfga.dev) [Provide a link to any relevant PRs in the references section above]
- [ ] The correct base branch is being used, if not `main`
- [ ] I have added tests to validate that the change in functionality is working as expected

",False,15,2,pending
2200,perf: improve performance of a union of recursive ttu with nested algebraic operations,open,2025-01-08 21:05:40,,miparnisari,[],8,1138,19,False,,30,https://github.com/openfga/openfga/pull/2200,recursive-ttu-with-algebraic-ops,main,"## Description
This PR is meant to increase performance in Check API for some authorization models. E.g when querying `rel1`:

```
model
	schema 1.1
type user
type document
	relations
		define rel1: rel2 or rel1 from parent
		define parent: [document]
		define rel2: [user] and rel3
		define rel3: [user]
```

For this purpose, I introduced:
- a new method within `optimizations.go` to detect when we can apply this optimization
- an `objectProvider` interface with two implementations (`simple` is a restructuring of an existing optimization, `complex` provides the new optimization)

NOTE:  my code (v2) is a generalization of v1, so v2 can in the future replace v1 in all scenarios (unless i misunderstood the requirements doc)


## References
Depends on https://github.com/openfga/openfga/pull/2231

",False,16,1,pending
2196,chore: rename cache controller to cache invalidator,open,2025-01-08 16:51:21,,miparnisari,['Skip-Changelog'],15,165,164,False,,1,https://github.com/openfga/openfga/pull/2196,rename-cache-controller,main,"## Description
Rename only, no functional change should be expected. 
- The environment variables for the feature remain the same.
- So do the metric names.

## References
https://rygo6.github.io/2019/04/19/Controller-is-Probably-a-Bad-Name.html

## Testing

```
make build
./dist/openfga run --cache-controller-ttl=25s --cache-controller-enabled=true
```

See the logs:

```
 INFO    starting openfga service...  ,""CacheController"":{""Enabled"":true,""TTL"":25000000000},
```

",False,16,1,pending
2182,feat: implement dynamic TLS certificate reloading for HTTP and gRPC servers,open,2024-12-22 13:28:16,,RokibulHasan7,[],3,168,20,False,,3,https://github.com/openfga/openfga/pull/2182,tls,main,"<!-- Thanks for opening a PR! Here are some quick tips:
If this is your first time contributing, [read our Contributing Guidelines](https://github.com/openfga/.github/blob/main/CONTRIBUTING.md) to learn how to create an acceptable PR for this repo.
By submitting a PR to this repository, you agree to the terms within the [OpenFGA Code of Conduct](https://github.com/openfga/.github/blob/main/CODE_OF_CONDUCT.md)

If your PR is under active development, please submit it as a ""draft"". Once it's ready, open it up for review.
-->

<!-- Provide a brief summary of the changes -->

## Description
<!-- Provide a detailed description of the changes -->

## References
<!-- Provide a list of any applicable references here (GitHub Issue, [OpenFGA RFC](https://github.com/openfga/rfcs), other PRs, etc..) --> #668

## Review Checklist
- [x] I have clicked on [""allow edits by maintainers""](https://docs.github.com/en/pull-requests/collaborating-with-pull-requests/working-with-forks/allowing-changes-to-a-pull-request-branch-created-from-a-fork).
- [ ] I have added documentation for new/changed functionality in this PR or in a PR to [openfga.dev](https://github.com/openfga/openfga.dev) [Provide a link to any relevant PRs in the references section above]
- [ ] The correct base branch is being used, if not `main`
- [ ] I have added tests to validate that the change in functionality is working as expected

",False,34,3,pending
